"Date","WPU01210105"
2017-12-01,187.5
2018-01-01,186.4
2018-02-01,177.8
2018-03-01,176.8
2018-04-01,174.4
2018-05-01,168.3
2018-06-01,167.2
2018-07-01,157
2018-08-01,146.8
2018-09-01,143.8
2018-10-01,142.4
2018-11-01,143.7
2018-12-01,143.2
2019-01-01,137
2019-02-01,145
2019-03-01,148
2019-04-01,147.4
2019-05-01,144.1
2019-06-01,148.5
2019-07-01,152.2
2019-08-01,145.4
2019-09-01,142.4
2019-10-01,152.4
2019-11-01,174.3
2019-12-01,171.3
2020-01-01,163.4
2020-02-01,172.6
2020-03-01,173
2020-04-01,172.6
2020-05-01,173
2020-06-01,179.2
2020-07-01,178.1
2020-08-01,174.1
2020-09-01,163.4
2020-10-01,168.2
2020-11-01,175.7
2020-12-01,181.6
2021-01-01,188.4
2021-02-01,196.8
2021-03-01,196
2021-04-01,196.2
2021-05-01,214.2
2021-06-01,217.9
2021-07-01,248.464
2021-08-01,368.794
2021-09-01,403.068
2021-10-01,455.75
2021-11-01,474.986
2021-12-01,474.935
2022-01-01,479.907
2022-02-01,395.106
2022-03-01,380.101
2022-04-01,376.536
2022-05-01,377.888
2022-06-01,382.799
2022-07-01,297.61
2022-08-01,293.118
2022-09-01,256.549
2022-10-01,283.732
2022-11-01,303.107
2022-12-01,289.013
2023-01-01,286.604
2023-02-01,269.204
2023-03-01,261.867
2023-04-01,260.696
2023-05-01,246.869
2023-06-01,237.698
2023-07-01,261.845
2023-08-01,352.942
2023-09-01,321.785
2023-10-01,317.135
2023-11-01,304.114
