"Date","WPU02230503"
1991-12-01,100
1992-01-01,100.8
1992-02-01,134
1992-03-01,187.3
1992-04-01,NA
1992-05-01,111.8
1992-06-01,110.4
1992-07-01,NA
1992-08-01,79.6
1992-09-01,85.7
1992-10-01,85.7
1992-11-01,79.5
1992-12-01,139.4
1993-01-01,NA
1993-02-01,125.2
1993-03-01,NA
1993-04-01,NA
1993-05-01,NA
1993-06-01,NA
1993-07-01,NA
1993-08-01,75.3
1993-09-01,71.1
1993-10-01,70.4
1993-11-01,65.3
1993-12-01,NA
1994-01-01,NA
1994-02-01,NA
1994-03-01,NA
1994-04-01,NA
1994-05-01,NA
1994-06-01,NA
1994-07-01,NA
1994-08-01,83.5
1994-09-01,79.3
1994-10-01,81.9
1994-11-01,NA
1994-12-01,NA
1995-01-01,NA
1995-02-01,NA
1995-03-01,NA
1995-04-01,NA
1995-05-01,NA
1995-06-01,NA
1995-07-01,NA
1995-08-01,96.1
1995-09-01,NA
1995-10-01,NA
1995-11-01,NA
1995-12-01,NA
1996-01-01,NA
1996-02-01,NA
1996-03-01,NA
1996-04-01,NA
1996-05-01,NA
1996-06-01,NA
1996-07-01,101.6
1996-08-01,NA
1996-09-01,NA
1996-10-01,NA
1996-11-01,NA
1996-12-01,NA
1997-01-01,NA
1997-02-01,NA
1997-03-01,NA
1997-04-01,NA
1997-05-01,NA
1997-06-01,NA
1997-07-01,NA
1997-08-01,NA
1997-09-01,94.9
1997-10-01,NA
1997-11-01,NA
1997-12-01,NA
1998-01-01,NA
1998-02-01,NA
1998-03-01,NA
1998-04-01,NA
1998-05-01,NA
1998-06-01,NA
1998-07-01,NA
1998-08-01,NA
1998-09-01,78.2
1998-10-01,93
1998-11-01,86
1998-12-01,NA
1999-01-01,NA
1999-02-01,NA
1999-03-01,NA
1999-04-01,NA
1999-05-01,NA
1999-06-01,NA
1999-07-01,NA
1999-08-01,NA
1999-09-01,NA
1999-10-01,NA
1999-11-01,NA
1999-12-01,NA
2000-01-01,NA
2000-02-01,NA
2000-03-01,NA
2000-04-01,NA
2000-05-01,NA
2000-06-01,NA
2000-07-01,NA
2000-08-01,NA
2000-09-01,NA
2000-10-01,NA
2000-11-01,NA
2000-12-01,NA
2001-01-01,NA
2001-02-01,NA
2001-03-01,NA
2001-04-01,NA
2001-05-01,NA
2001-06-01,NA
2001-07-01,NA
2001-08-01,NA
2001-09-01,NA
2001-10-01,NA
2001-11-01,NA
2001-12-01,NA
2002-01-01,NA
2002-02-01,NA
2002-03-01,NA
2002-04-01,NA
2002-05-01,NA
2002-06-01,NA
2002-07-01,NA
2002-08-01,NA
2002-09-01,NA
2002-10-01,NA
2002-11-01,132.9
2002-12-01,NA
2003-01-01,NA
2003-02-01,NA
2003-03-01,NA
2003-04-01,NA
2003-05-01,NA
2003-06-01,NA
2003-07-01,NA
2003-08-01,NA
2003-09-01,NA
2003-10-01,NA
2003-11-01,NA
2003-12-01,NA
2004-01-01,118.2
2004-02-01,125.6
2004-03-01,122.2
2004-04-01,125.6
2004-05-01,116
2004-06-01,108.5
2004-07-01,112.5
2004-08-01,120.4
2004-09-01,121.3
2004-10-01,116
2004-11-01,132.6
2004-12-01,126.8
2005-01-01,129
2005-02-01,145
2005-03-01,169.6
2005-04-01,154.7
2005-05-01,125.1
2005-06-01,119.3
2005-07-01,131.3
2005-08-01,135.2
2005-09-01,133.7
2005-10-01,137.6
2005-11-01,124.4
2005-12-01,133.5
2006-01-01,114.1
2006-02-01,140.2
2006-03-01,152.7
2006-04-01,126.5
2006-05-01,125
2006-06-01,130.1
2006-07-01,132.4
2006-08-01,105.3
2006-09-01,106.6
2006-10-01,104.1
2006-11-01,98.3
2006-12-01,116
2007-01-01,111.3
2007-02-01,135.7
2007-03-01,154.5
2007-04-01,262.7
2007-05-01,149.4
2007-06-01,139.4
2007-07-01,160.2
2007-08-01,166.6
2007-09-01,112.8
2007-10-01,116.2
2007-11-01,113.8
2007-12-01,123.8
2008-01-01,151.1
2008-02-01,155.2
2008-03-01,183.9
2008-04-01,136.6
2008-05-01,129.8
2008-06-01,120.9
2008-07-01,144.1
2008-08-01,101.4
2008-09-01,100.5
2008-10-01,78.5
2008-11-01,75.9
2008-12-01,72.8
2009-01-01,135.2
2009-02-01,125.6
2009-03-01,147.5
2009-04-01,123.1
2009-05-01,103.8
2009-06-01,87.5
2009-07-01,118.2
2009-08-01,92.3
2009-09-01,78.7
2009-10-01,77.5
2009-11-01,75.9
2009-12-01,93.7
2010-01-01,102.5
2010-02-01,119.5
2010-03-01,123.4
2010-04-01,109.8
2010-05-01,105.2
2010-06-01,113.5
2010-07-01,117.2
2010-08-01,86.9
2010-09-01,100.3
2010-10-01,108.5
2010-11-01,104.4
2010-12-01,105.5
2011-01-01,131.9
2011-02-01,120.6
2011-03-01,124.4
2011-04-01,125.1
2011-05-01,121.4
2011-06-01,134.7
2011-07-01,146.1
2011-08-01,101
2011-09-01,99.5
2011-10-01,99.8
2011-11-01,89.9
2011-12-01,103.7
2012-01-01,108.6
2012-02-01,134.5
2012-03-01,142.6
2012-04-01,146.5
2012-05-01,129.8
2012-06-01,125.8
2012-07-01,88.7
2012-08-01,82.6
2012-09-01,95.8
2012-10-01,90.8
2012-11-01,89.2
2012-12-01,87.8
2013-01-01,128
2013-02-01,132
2013-03-01,155.8
2013-04-01,185.3
2013-05-01,119.9
2013-06-01,100.8
2013-07-01,88.4
2013-08-01,81.7
2013-09-01,83.7
2013-10-01,101.1
2013-11-01,105.7
2013-12-01,125.1
2014-01-01,148.9
2014-02-01,158.4
2014-03-01,156.8
2014-04-01,175.2
2014-05-01,123.8
2014-06-01,105.9
2014-07-01,148.5
2014-08-01,103.1
2014-09-01,105.1
2014-10-01,125.2
2014-11-01,108.7
2014-12-01,127.9
2015-01-01,139.1
2015-02-01,147.6
2015-03-01,200.8
2015-04-01,219.1
2015-05-01,161.9
2015-06-01,123.6
2015-07-01,154.7
2015-08-01,161.3
2015-09-01,144.6
2015-10-01,149.4
2015-11-01,140.6
2015-12-01,127.1
2016-01-01,124.3
2016-02-01,172.3
2016-03-01,143.9
2016-04-01,189.4
2016-05-01,136.2
2016-06-01,156.6
2016-07-01,150.9
2016-08-01,148.6
2016-09-01,160.7
2016-10-01,157.3
2016-11-01,143.4
2016-12-01,121.4
2017-01-01,162.4
2017-02-01,163.9
2017-03-01,192.1
2017-04-01,251.2
2017-05-01,174
2017-06-01,146.4
2017-07-01,165.8
2017-08-01,163.9
2017-09-01,158.7
2017-10-01,159.1
2017-11-01,150
2017-12-01,150.5
2018-01-01,173.9
2018-02-01,193.4
2018-03-01,231.4
2018-04-01,237.2
2018-05-01,157.4
2018-06-01,141.2
2018-07-01,167.5
2018-08-01,154.3
2018-09-01,163.4
2018-10-01,165.6
2018-11-01,167.1
2018-12-01,166.4
2019-01-01,168
2019-02-01,207.3
2019-03-01,227.5
2019-04-01,203.5
2019-05-01,165.3
2019-06-01,145.6
2019-07-01,160.3
2019-08-01,167.2
2019-09-01,196.4
2019-10-01,211.9
2019-11-01,209.7
2019-12-01,194.4
2020-01-01,202.5
2020-02-01,178.2
2020-03-01,167.7
2020-04-01,149.4
2020-05-01,165.9
2020-06-01,126.8
2020-07-01,135.5
2020-08-01,144.3
2020-09-01,202.6
2020-10-01,213.7
2020-11-01,195
2020-12-01,184.3
2021-01-01,199.6
2021-02-01,211.3
2021-03-01,265.5
2021-04-01,260.6
2021-05-01,225.2
2021-06-01,204
2021-07-01,238.605
2021-08-01,242.167
2021-09-01,244.399
2021-10-01,264.957
2021-11-01,260.622
2021-12-01,234.785
2022-01-01,243.576
2022-02-01,327.297
2022-03-01,351.905
2022-04-01,304.224
2022-05-01,221.841
2022-06-01,185.708
2022-07-01,186.166
2022-08-01,194.923
2022-09-01,212.458
2022-10-01,205.08
2022-11-01,178.264
2022-12-01,180.069
2023-01-01,183.561
2023-02-01,261.494
2023-03-01,262.876
2023-04-01,317.237
2023-05-01,219.994
2023-06-01,175.64
2023-07-01,193.467
2023-08-01,199.383
2023-09-01,206.36
2023-10-01,206.297
2023-11-01,190.464
