"Date","WPU072A0101"
2006-12-01,100
2007-01-01,98.7
2007-02-01,98
2007-03-01,97.9
2007-04-01,97.7
2007-05-01,97
2007-06-01,98
2007-07-01,98.3
2007-08-01,99.4
2007-09-01,99.4
2007-10-01,100.3
2007-11-01,100.3
2007-12-01,101.6
2008-01-01,102.5
2008-02-01,102.8
2008-03-01,103.4
2008-04-01,103.8
2008-05-01,104.2
2008-06-01,104.4
2008-07-01,107.5
2008-08-01,109.2
2008-09-01,111.1
2008-10-01,111.2
2008-11-01,110.4
2008-12-01,107.9
2009-01-01,105.3
2009-02-01,102
2009-03-01,102.8
2009-04-01,102.7
2009-05-01,101.8
2009-06-01,101.5
2009-07-01,100
2009-08-01,100.2
2009-09-01,100.3
2009-10-01,100.4
2009-11-01,100.7
2009-12-01,100.9
2010-01-01,101.4
2010-02-01,101.7
2010-03-01,102.9
2010-04-01,104
2010-05-01,105.2
2010-06-01,104.9
2010-07-01,104.6
2010-08-01,104.4
2010-09-01,103.8
2010-10-01,103.5
2010-11-01,103.8
2010-12-01,104.6
2011-01-01,106.1
2011-02-01,106.9
2011-03-01,108.2
2011-04-01,110.8
2011-05-01,112.2
2011-06-01,114
2011-07-01,114.6
2011-08-01,113.8
2011-09-01,113.8
2011-10-01,113.6
2011-11-01,113.6
2011-12-01,112.3
2012-01-01,112.3
2012-02-01,112.2
2012-03-01,113.2
2012-04-01,115.1
2012-05-01,115.4
2012-06-01,115.4
2012-07-01,114.3
2012-08-01,112
2012-09-01,111.9
2012-10-01,112.7
2012-11-01,112.8
2012-12-01,113.4
2013-01-01,113.4
2013-02-01,114.1
2013-03-01,115.3
2013-04-01,115.8
2013-05-01,116.3
2013-06-01,115.9
2013-07-01,116.8
2013-08-01,116.2
2013-09-01,116.9
2013-10-01,116.4
2013-11-01,116.4
2013-12-01,115.9
2014-01-01,115.6
2014-02-01,116.5
2014-03-01,116.3
2014-04-01,115.7
2014-05-01,116.2
2014-06-01,115.9
2014-07-01,114.4
2014-08-01,114.7
2014-09-01,115.5
2014-10-01,115
2014-11-01,115.1
2014-12-01,114.7
2015-01-01,114.6
2015-02-01,113.9
2015-03-01,112.1
2015-04-01,110.5
2015-05-01,110.5
2015-06-01,110.5
2015-07-01,109.6
2015-08-01,109.8
2015-09-01,109.6
2015-10-01,108.7
2015-11-01,108.6
2015-12-01,108.4
2016-01-01,107.3
2016-02-01,106.7
2016-03-01,107.2
2016-04-01,107.7
2016-05-01,107.5
2016-06-01,108.2
2016-07-01,108
2016-08-01,107.5
2016-09-01,107.5
2016-10-01,107.1
2016-11-01,107.4
2016-12-01,107.7
2017-01-01,108.9
2017-02-01,109
2017-03-01,108.9
2017-04-01,109.4
2017-05-01,111.1
2017-06-01,111.1
2017-07-01,111.3
2017-08-01,111.1
2017-09-01,111
2017-10-01,110.8
2017-11-01,111.2
2017-12-01,112.3
2018-01-01,114.4
2018-02-01,114.6
2018-03-01,115.4
2018-04-01,116.5
2018-05-01,116.9
2018-06-01,117.2
2018-07-01,116.4
2018-08-01,116.9
2018-09-01,117.7
2018-10-01,118.9
2018-11-01,119.5
2018-12-01,119.4
2019-01-01,120.2
2019-02-01,119.3
2019-03-01,118.9
2019-04-01,117.7
2019-05-01,117.5
2019-06-01,117.5
2019-07-01,116.9
2019-08-01,116.1
2019-09-01,115.6
2019-10-01,115.6
2019-11-01,115.4
2019-12-01,115.2
2020-01-01,115
2020-02-01,114.3
2020-03-01,113.9
2020-04-01,113.7
2020-05-01,113.3
2020-06-01,113.2
2020-07-01,111.9
2020-08-01,111.1
2020-09-01,111.4
2020-10-01,112.2
2020-11-01,112.5
2020-12-01,113
2021-01-01,114.9
2021-02-01,116.1
2021-03-01,117.7
2021-04-01,123.7
2021-05-01,127.6
2021-06-01,130.5
2021-07-01,133.027
2021-08-01,135.726
2021-09-01,137.1
2021-10-01,139.972
2021-11-01,143.085
2021-12-01,143.74
2022-01-01,145.168
2022-02-01,144.758
2022-03-01,145.452
2022-04-01,147.94
2022-05-01,149.354
2022-06-01,151.231
2022-07-01,153.437
2022-08-01,156.329
2022-09-01,156.558
2022-10-01,153.958
2022-11-01,153.186
2022-12-01,152.549
2023-01-01,149.491
2023-02-01,148.645
2023-03-01,148.387
2023-04-01,148.365
2023-05-01,148.559
2023-06-01,147.957
2023-07-01,146.509
2023-08-01,146.157
2023-09-01,146.218
2023-10-01,145.781
2023-11-01,146.33
