"Date","WPU063807"
2001-06-01,100
2001-07-01,100.2
2001-08-01,100.5
2001-09-01,100.2
2001-10-01,100.3
2001-11-01,100.4
2001-12-01,100.4
2002-01-01,100.5
2002-02-01,100.2
2002-03-01,98.6
2002-04-01,99.1
2002-05-01,99.6
2002-06-01,99.4
2002-07-01,99.6
2002-08-01,99.7
2002-09-01,99.3
2002-10-01,99.4
2002-11-01,99.3
2002-12-01,98.9
2003-01-01,99.7
2003-02-01,99.5
2003-03-01,99.5
2003-04-01,100.5
2003-05-01,100.1
2003-06-01,100.3
2003-07-01,100
2003-08-01,100
2003-09-01,101
2003-10-01,101
2003-11-01,101
2003-12-01,101
2004-01-01,101.1
2004-02-01,101.1
2004-03-01,101.1
2004-04-01,101.6
2004-05-01,102
2004-06-01,101.5
2004-07-01,101.5
2004-08-01,101
2004-09-01,101
2004-10-01,101
2004-11-01,101.1
2004-12-01,101.1
2005-01-01,101.2
2005-02-01,101.2
2005-03-01,100.7
2005-04-01,101.4
2005-05-01,102
2005-06-01,102
2005-07-01,102.2
2005-08-01,102.2
2005-09-01,102.5
2005-10-01,102.4
2005-11-01,102.4
2005-12-01,102.4
2006-01-01,102.9
2006-02-01,102.9
2006-03-01,103.2
2006-04-01,103.4
2006-05-01,103.5
2006-06-01,103.5
2006-07-01,103.5
2006-08-01,103.4
2006-09-01,103.4
2006-10-01,103.4
2006-11-01,103.2
2006-12-01,103.2
2007-01-01,103.2
2007-02-01,103.9
2007-03-01,103.7
2007-04-01,104
2007-05-01,104.4
2007-06-01,104.3
2007-07-01,104.4
2007-08-01,104.4
2007-09-01,104.9
2007-10-01,105.8
2007-11-01,105.9
2007-12-01,105.9
2008-01-01,106.4
2008-02-01,106.5
2008-03-01,106.5
2008-04-01,106.9
2008-05-01,107.9
2008-06-01,107.4
2008-07-01,108.5
2008-08-01,109.6
2008-09-01,109.5
2008-10-01,110.1
2008-11-01,110.3
2008-12-01,110.1
2009-01-01,111.3
2009-02-01,111.1
2009-03-01,111.7
2009-04-01,114
2009-05-01,113.6
2009-06-01,113.5
2009-07-01,112.4
2009-08-01,112.4
2009-09-01,112.5
2009-10-01,113.4
2009-11-01,113
2009-12-01,113.1
2010-01-01,112.7
2010-02-01,112.9
2010-03-01,113.4
2010-04-01,118.5
2010-05-01,118.5
2010-06-01,118.5
2010-07-01,118.5
2010-08-01,118.5
2010-09-01,117.6
2010-10-01,117.7
2010-11-01,117.5
2010-12-01,119
2011-01-01,119
2011-02-01,118.9
2011-03-01,118.9
2011-04-01,116.9
2011-05-01,117
2011-06-01,117.3
2011-07-01,117.4
2011-08-01,117.4
2011-09-01,117.5
2011-10-01,117.4
2011-11-01,117.4
2011-12-01,117.4
2012-01-01,118.5
2012-02-01,118.5
2012-03-01,118.5
2012-04-01,118.5
2012-05-01,119.8
2012-06-01,119.8
2012-07-01,119.6
2012-08-01,119.7
2012-09-01,119.7
2012-10-01,119.7
2012-11-01,119.1
2012-12-01,119.1
2013-01-01,118
2013-02-01,118.1
2013-03-01,118.1
2013-04-01,118.1
2013-05-01,118.8
2013-06-01,118.8
2013-07-01,118.5
2013-08-01,118.7
2013-09-01,118.7
2013-10-01,119.4
2013-11-01,119.4
2013-12-01,119.9
2014-01-01,120.4
2014-02-01,121.9
2014-03-01,121.9
2014-04-01,121.9
2014-05-01,120.4
2014-06-01,121.7
2014-07-01,129
2014-08-01,129.2
2014-09-01,129.4
2014-10-01,129.4
2014-11-01,129.4
2014-12-01,129.8
2015-01-01,130.8
2015-02-01,130.9
2015-03-01,131
2015-04-01,130.8
2015-05-01,131.5
2015-06-01,131.5
2015-07-01,131.6
2015-08-01,131.6
2015-09-01,131.6
2015-10-01,132
2015-11-01,131.6
2015-12-01,132.2
2016-01-01,132.7
2016-02-01,132.7
2016-03-01,132.7
2016-04-01,132.6
2016-05-01,132.6
2016-06-01,132.6
2016-07-01,132.7
2016-08-01,132.7
2016-09-01,132.6
2016-10-01,132.9
2016-11-01,132.9
2016-12-01,132.8
2017-01-01,133.2
2017-02-01,133.2
2017-03-01,133.2
2017-04-01,133.2
2017-05-01,133.1
2017-06-01,133.3
2017-07-01,134
2017-08-01,134.3
2017-09-01,134.6
2017-10-01,134.8
2017-11-01,134.8
2017-12-01,134.7
2018-01-01,136.4
2018-02-01,136.3
2018-03-01,136.5
2018-04-01,136.3
2018-05-01,136.3
2018-06-01,136.2
2018-07-01,136.4
2018-08-01,136.5
2018-09-01,136.8
2018-10-01,136.6
2018-11-01,136.7
2018-12-01,136.6
2019-01-01,136.8
2019-02-01,136.8
2019-03-01,137
2019-04-01,137.1
2019-05-01,137.4
2019-06-01,137.4
2019-07-01,137.4
2019-08-01,137.7
2019-09-01,137.7
2019-10-01,137.8
2019-11-01,137.4
2019-12-01,137.4
2020-01-01,137.7
2020-02-01,137.7
2020-03-01,137.7
2020-04-01,138
2020-05-01,137.8
2020-06-01,137.6
2020-07-01,137.7
2020-08-01,137.9
