"Date","WPSFD413"
2009-11-01,99.9
2009-12-01,100.1
2010-01-01,100.4
2010-02-01,100.6
2010-03-01,100.9
2010-04-01,101.2
2010-05-01,101.3
2010-06-01,101.3
2010-07-01,101.3
2010-08-01,101.5
2010-09-01,101.8
2010-10-01,101.9
2010-11-01,102.1
2010-12-01,102.5
2011-01-01,103.1
2011-02-01,103.6
2011-03-01,104
2011-04-01,104.5
2011-05-01,104.7
2011-06-01,105
2011-07-01,105.3
2011-08-01,105.5
2011-09-01,105.8
2011-10-01,105.8
2011-11-01,105.7
2011-12-01,105.7
2012-01-01,106.2
2012-02-01,106.3
2012-03-01,106.6
2012-04-01,106.7
2012-05-01,106.8
2012-06-01,106.5
2012-07-01,106.8
2012-08-01,106.9
2012-09-01,107
2012-10-01,107
2012-11-01,107.2
2012-12-01,107.3
2013-01-01,107.4
2013-02-01,107.7
2013-03-01,107.8
2013-04-01,107.8
2013-05-01,107.8
2013-06-01,107.9
2013-07-01,107.9
2013-08-01,108
2013-09-01,108
2013-10-01,108.1
2013-11-01,108.2
2013-12-01,108.6
2014-01-01,109.1
2014-02-01,109.2
2014-03-01,109.1
2014-04-01,109.3
2014-05-01,109.3
2014-06-01,109.4
2014-07-01,109.6
2014-08-01,109.7
2014-09-01,109.9
2014-10-01,109.9
2014-11-01,109.8
2014-12-01,109.8
2015-01-01,109.9
2015-02-01,109.8
2015-03-01,109.7
2015-04-01,109.7
2015-05-01,109.9
2015-06-01,110.2
2015-07-01,110.3
2015-08-01,110.1
2015-09-01,110.1
2015-10-01,109.9
2015-11-01,109.8
2015-12-01,109.8
2016-01-01,109.9
2016-02-01,110
2016-03-01,110.1
2016-04-01,110.4
2016-05-01,110.6
2016-06-01,110.8
2016-07-01,110.9
2016-08-01,111
2016-09-01,111
2016-10-01,111.2
2016-11-01,111.4
2016-12-01,111.7
2017-01-01,112.1
2017-02-01,112.3
2017-03-01,112.7
2017-04-01,113
2017-05-01,113
2017-06-01,113
2017-07-01,113.1
2017-08-01,113.3
2017-09-01,113.4
2017-10-01,113.8
2017-11-01,114.1
2017-12-01,114.2
2018-01-01,114.5
2018-02-01,114.8
2018-03-01,115.2
2018-04-01,115.4
2018-05-01,115.7
2018-06-01,116
2018-07-01,116.3
2018-08-01,116.4
2018-09-01,116.6
2018-10-01,117
2018-11-01,117.2
2018-12-01,117.2
2019-01-01,117.4
2019-02-01,117.5
2019-03-01,117.6
2019-04-01,117.6
2019-05-01,117.6
2019-06-01,117.5
2019-07-01,117.6
2019-08-01,117.6
2019-09-01,117.6
2019-10-01,117.7
2019-11-01,117.9
2019-12-01,117.9
2020-01-01,118.1
2020-02-01,118.2
2020-03-01,118.2
2020-04-01,117.9
2020-05-01,117.7
2020-06-01,117.9
2020-07-01,118.2
2020-08-01,118.5
2020-09-01,118.9
2020-10-01,119
2020-11-01,119.4
2020-12-01,119.9
2021-01-01,120.8
2021-02-01,121.4
2021-03-01,122.4
2021-04-01,123.6
2021-05-01,124.9
2021-06-01,126.1
2021-07-01,127.19
2021-08-01,127.988
2021-09-01,128.739
2021-10-01,129.683
2021-11-01,130.802
2021-12-01,131.152
2022-01-01,132.194
2022-02-01,133.28
2022-03-01,134.613
2022-04-01,136.167
2022-05-01,137.109
2022-06-01,137.738
2022-07-01,137.97
2022-08-01,138.299
2022-09-01,138.309
2022-10-01,138.317
2022-11-01,138.709
2022-12-01,138.813
2023-01-01,139.699
2023-02-01,140.148
2023-03-01,140.444
2023-04-01,140.646
2023-05-01,140.794
2023-06-01,140.55
2023-07-01,140.614
2023-08-01,140.768
2023-09-01,140.989
2023-10-01,141.014
2023-11-01,141.254
