"Date","WPU1141"
1947-01-01,12
1947-02-01,12
1947-03-01,12
1947-04-01,12
1947-05-01,12.1
1947-06-01,12.2
1947-07-01,12.2
1947-08-01,12.2
1947-09-01,12.7
1947-10-01,12.7
1947-11-01,12.7
1947-12-01,12.8
1948-01-01,12.9
1948-02-01,12.9
1948-03-01,12.9
1948-04-01,12.9
1948-05-01,12.9
1948-06-01,12.9
1948-07-01,13.1
1948-08-01,13.6
1948-09-01,14
1948-10-01,14.1
1948-11-01,14.3
1948-12-01,14.5
1949-01-01,14.5
1949-02-01,14.5
1949-03-01,14.5
1949-04-01,14.4
1949-05-01,14.4
1949-06-01,14.4
1949-07-01,14.4
1949-08-01,14.4
1949-09-01,14.4
1949-10-01,14.4
1949-11-01,14.3
1949-12-01,14.2
1950-01-01,14.1
1950-02-01,14.1
1950-03-01,14
1950-04-01,14
1950-05-01,14
1950-06-01,14
1950-07-01,14.2
1950-08-01,14.9
1950-09-01,15.1
1950-10-01,15.2
1950-11-01,15.3
1950-12-01,16.3
1951-01-01,16.5
1951-02-01,16.5
1951-03-01,16.5
1951-04-01,16.5
1951-05-01,16.5
1951-06-01,16.5
1951-07-01,16.5
1951-08-01,16.5
1951-09-01,16.5
1951-10-01,16.5
1951-11-01,16.5
1951-12-01,16.5
1952-01-01,16.4
1952-02-01,16.5
1952-03-01,16.5
1952-04-01,16.5
1952-05-01,16.5
1952-06-01,16.5
1952-07-01,16.5
1952-08-01,16.5
1952-09-01,16.5
1952-10-01,16.5
1952-11-01,16.5
1952-12-01,16.5
1953-01-01,16.5
1953-02-01,16.5
1953-03-01,16.6
1953-04-01,16.8
1953-05-01,16.9
1953-06-01,17.4
1953-07-01,17.6
1953-08-01,17.6
1953-09-01,17.7
1953-10-01,17.7
1953-11-01,17.8
1953-12-01,17.8
1954-01-01,17.6
1954-02-01,17.6
1954-03-01,17.6
1954-04-01,17.6
1954-05-01,17.6
1954-06-01,17.6
1954-07-01,17.6
1954-08-01,17.6
1954-09-01,17.6
1954-10-01,17.6
1954-11-01,17.6
1954-12-01,17.6
1955-01-01,17.5
1955-02-01,17.8
1955-03-01,17.9
1955-04-01,18
1955-05-01,18
1955-06-01,18
1955-07-01,18
1955-08-01,18.1
1955-09-01,18.4
1955-10-01,18.8
1955-11-01,19.1
1955-12-01,19.1
1956-01-01,19.2
1956-02-01,19.2
1956-03-01,19.3
1956-04-01,19.7
1956-05-01,20.3
1956-06-01,20.3
1956-07-01,20.4
1956-08-01,20.8
1956-09-01,20.8
1956-10-01,21.1
1956-11-01,21.5
1956-12-01,21.5
1957-01-01,21.5
1957-02-01,21.5
1957-03-01,21.5
1957-04-01,21.6
1957-05-01,21.6
1957-06-01,21.6
1957-07-01,21.6
1957-08-01,21.9
1957-09-01,22.1
1957-10-01,22.1
1957-11-01,22.4
1957-12-01,22.5
1958-01-01,22.5
1958-02-01,22.6
1958-03-01,22.6
1958-04-01,22.6
1958-05-01,22.6
1958-06-01,22.6
1958-07-01,22.6
1958-08-01,22.5
1958-09-01,22.5
1958-10-01,22.6
1958-11-01,23.5
1958-12-01,23.6
1959-01-01,23.9
1959-02-01,24
1959-03-01,24
1959-04-01,24
1959-05-01,24
1959-06-01,24
1959-07-01,24
1959-08-01,24
1959-09-01,24
1959-10-01,24
1959-11-01,24
1959-12-01,24.1
1960-01-01,23.8
1960-02-01,23.9
1960-03-01,23.9
1960-04-01,23.9
1960-05-01,23.9
1960-06-01,23.9
1960-07-01,24
1960-08-01,24
1960-09-01,24
1960-10-01,24
1960-11-01,24
1960-12-01,24
1961-01-01,23.9
1961-02-01,23.9
1961-03-01,23.9
1961-04-01,23.7
1961-05-01,23.7
1961-06-01,23.7
1961-07-01,23.7
1961-08-01,23.7
1961-09-01,23.7
1961-10-01,23.6
1961-11-01,23.6
1961-12-01,23.6
1962-01-01,23.6
1962-02-01,23.7
1962-03-01,23.6
1962-04-01,23.6
1962-05-01,23.6
1962-06-01,23.6
1962-07-01,23.6
1962-08-01,23.6
1962-09-01,23.5
1962-10-01,23.5
1962-11-01,23.5
1962-12-01,23.5
1963-01-01,23.6
1963-02-01,23.6
1963-03-01,23.7
1963-04-01,23.7
1963-05-01,23.7
1963-06-01,23.8
1963-07-01,23.8
1963-08-01,23.8
1963-09-01,23.7
1963-10-01,23.8
1963-11-01,23.9
1963-12-01,24
1964-01-01,24
1964-02-01,24
1964-03-01,24.1
1964-04-01,24.1
1964-05-01,24.2
1964-06-01,24.2
1964-07-01,24.2
1964-08-01,24.2
1964-09-01,24.4
1964-10-01,25.3
1964-11-01,25.5
1964-12-01,25.4
1965-01-01,25.4
1965-02-01,25.4
1965-03-01,25.5
1965-04-01,25.5
1965-05-01,25.6
1965-06-01,25.9
1965-07-01,25.9
1965-08-01,26.3
1965-09-01,26.6
1965-10-01,26.6
1965-11-01,26.7
1965-12-01,26.7
1966-01-01,26.8
1966-02-01,26.9
1966-03-01,27
1966-04-01,27.7
1966-05-01,27.7
1966-06-01,27.7
1966-07-01,27.7
1966-08-01,27.8
1966-09-01,27.8
1966-10-01,28
1966-11-01,28
1966-12-01,28
1967-01-01,28.2
1967-02-01,28.2
1967-03-01,28.2
1967-04-01,28.2
1967-05-01,28.3
1967-06-01,28.4
1967-07-01,28.4
1967-08-01,29.2
1967-09-01,29.5
1967-10-01,29.6
1967-11-01,29.6
1967-12-01,29.6
1968-01-01,29.8
1968-02-01,29.9
