"Date","WPU374"
2009-03-01,100
2009-04-01,100
2009-05-01,99.3
2009-06-01,99.3
2009-07-01,99.3
2009-08-01,99.3
2009-09-01,99.3
2009-10-01,99.3
2009-11-01,99.3
2009-12-01,99.3
2010-01-01,99.2
2010-02-01,99.2
2010-03-01,99.3
2010-04-01,98.7
2010-05-01,98.6
2010-06-01,98.6
2010-07-01,98.5
2010-08-01,97.5
2010-09-01,97.6
2010-10-01,97.6
2010-11-01,97.7
2010-12-01,97.7
2011-01-01,97.7
2011-02-01,97.8
2011-03-01,97.8
2011-04-01,97.6
2011-05-01,97.6
2011-06-01,97.6
2011-07-01,97.6
2011-08-01,97.6
2011-09-01,97.6
2011-10-01,97.6
2011-11-01,97.7
2011-12-01,97.7
2012-01-01,97.7
2012-02-01,98
2012-03-01,98
2012-04-01,98.1
2012-05-01,98.1
2012-06-01,98.1
2012-07-01,98.1
2012-08-01,97.5
2012-09-01,97.6
2012-10-01,97.6
2012-11-01,97.6
2012-12-01,97.6
2013-01-01,97.7
2013-02-01,97.8
2013-03-01,97.8
2013-04-01,97.8
2013-05-01,97.9
2013-06-01,97.8
2013-07-01,97.7
2013-08-01,97.7
2013-09-01,97.7
2013-10-01,97.6
2013-11-01,97.6
2013-12-01,97.6
2014-01-01,97.6
2014-02-01,97.7
2014-03-01,97.7
2014-04-01,97.7
2014-05-01,97.7
2014-06-01,98.1
2014-07-01,98.1
2014-08-01,98.1
2014-09-01,98.1
2014-10-01,98.1
2014-11-01,98.1
2014-12-01,98.1
2015-01-01,98.1
2015-02-01,98.4
2015-03-01,98.5
2015-04-01,98.5
2015-05-01,98.5
2015-06-01,98.5
2015-07-01,98.5
2015-08-01,98.5
2015-09-01,97.6
2015-10-01,97.6
2015-11-01,97.6
2015-12-01,97.6
2016-01-01,97.7
2016-02-01,97.7
2016-03-01,97.7
2016-04-01,97.9
2016-05-01,97.8
2016-06-01,97.9
2016-07-01,97.9
2016-08-01,97.9
2016-09-01,97.9
2016-10-01,97.8
2016-11-01,97.8
2016-12-01,97.6
2017-01-01,97.6
2017-02-01,97.6
2017-03-01,97.3
2017-04-01,97.3
2017-05-01,97.3
2017-06-01,95.1
2017-07-01,95.1
2017-08-01,95.1
2017-09-01,95.1
2017-10-01,95.1
2017-11-01,95.1
2017-12-01,93.9
2018-01-01,94.4
2018-02-01,93.8
2018-03-01,93.8
2018-04-01,93.8
2018-05-01,93.7
2018-06-01,93.7
2018-07-01,93.7
2018-08-01,93.7
2018-09-01,93.8
2018-10-01,93.5
2018-11-01,93.5
2018-12-01,93.5
2019-01-01,93
2019-02-01,93
2019-03-01,93
2019-04-01,94.6
2019-05-01,94
2019-06-01,93.5
2019-07-01,93.5
2019-08-01,93.5
2019-09-01,93.3
2019-10-01,93.3
2019-11-01,93.3
2019-12-01,93.3
2020-01-01,93.4
2020-02-01,93.4
2020-03-01,93.4
2020-04-01,93.1
2020-05-01,93
2020-06-01,92.3
2020-07-01,92.3
2020-08-01,92.3
2020-09-01,92.3
2020-10-01,92.3
2020-11-01,91.3
2020-12-01,91.3
2021-01-01,93
2021-02-01,92.5
2021-03-01,92.1
2021-04-01,91.7
2021-05-01,91.7
2021-06-01,91.7
2021-07-01,91.671
2021-08-01,91.671
2021-09-01,91.671
2021-10-01,91.592
2021-11-01,91.592
2021-12-01,91.696
2022-01-01,91.713
2022-02-01,91.713
2022-03-01,91.701
2022-04-01,91.654
2022-05-01,91.353
2022-06-01,90.898
2022-07-01,90.974
2022-08-01,90.739
2022-09-01,90.924
2022-10-01,90.836
2022-11-01,90.404
2022-12-01,90.37
2023-01-01,91.141
2023-02-01,91.401
2023-03-01,92.388
2023-04-01,92.286
2023-05-01,91.542
2023-06-01,92.134
2023-07-01,91.389
2023-08-01,91.035
2023-09-01,89.793
2023-10-01,89.804
2023-11-01,90.738
