"Date","WPU02610204"
2011-12-01,100
2012-01-01,100
2012-02-01,100
2012-03-01,100.2
2012-04-01,100.2
2012-05-01,100.1
2012-06-01,100.1
2012-07-01,100.2
2012-08-01,100.3
2012-09-01,100.3
2012-10-01,100.4
2012-11-01,100.2
2012-12-01,100.3
2013-01-01,100.3
2013-02-01,100.3
2013-03-01,100.3
2013-04-01,100.4
2013-05-01,100.4
2013-06-01,100.4
2013-07-01,100.6
2013-08-01,100.6
2013-09-01,100.6
2013-10-01,100.6
2013-11-01,100.6
2013-12-01,100.6
2014-01-01,100.6
2014-02-01,100.6
2014-03-01,100.6
2014-04-01,100.6
2014-05-01,100
2014-06-01,100
2014-07-01,100.2
2014-08-01,100.1
2014-09-01,100.3
2014-10-01,100.3
2014-11-01,100.3
2014-12-01,100.3
2015-01-01,100.3
2015-02-01,100.3
2015-03-01,100.3
2015-04-01,100.3
2015-05-01,100.3
2015-06-01,100.3
2015-07-01,100.4
2015-08-01,100.4
2015-09-01,100.4
2015-10-01,100.4
2015-11-01,100.4
2015-12-01,100.4
2016-01-01,100.4
2016-02-01,100.4
2016-03-01,100.4
2016-04-01,100.4
2016-05-01,100.4
2016-06-01,100.4
2016-07-01,101.1
2016-08-01,101.1
2016-09-01,100.7
2016-10-01,100.7
2016-11-01,100.8
2016-12-01,100.8
2017-01-01,100.8
2017-02-01,100.8
2017-03-01,100.8
2017-04-01,100.8
2017-05-01,100.8
2017-06-01,100.8
2017-07-01,100.8
2017-08-01,100.8
2017-09-01,100.9
2017-10-01,100.8
2017-11-01,101.5
2017-12-01,101.5
2018-01-01,101.5
2018-02-01,101.5
2018-03-01,101.7
2018-04-01,101.7
2018-05-01,101.5
2018-06-01,101.5
2018-07-01,101.5
2018-08-01,101.4
2018-09-01,101.4
2018-10-01,101.4
2018-11-01,101.5
2018-12-01,101.5
2019-01-01,101.5
2019-02-01,101.5
2019-03-01,101.5
2019-04-01,101.5
2019-05-01,101.6
2019-06-01,102.1
2019-07-01,102.1
2019-08-01,102.1
2019-09-01,102
2019-10-01,102
2019-11-01,102.5
2019-12-01,102.5
2020-01-01,102.5
2020-02-01,102.7
2020-03-01,102.7
2020-04-01,102.7
2020-05-01,102.8
2020-06-01,103.8
2020-07-01,103.7
2020-08-01,103.1
2020-09-01,103.7
2020-10-01,102.4
2020-11-01,103.1
2020-12-01,101.1
2021-01-01,101.1
2021-02-01,101.6
2021-03-01,101.6
2021-04-01,101.6
2021-05-01,101.7
2021-06-01,101.6
2021-07-01,101.643
2021-08-01,101.862
2021-09-01,101.879
2021-10-01,101.879
2021-11-01,101.879
2021-12-01,102.056
2022-01-01,101.39
2022-02-01,101.41
2022-03-01,102.345
2022-04-01,102.676
2022-05-01,103.471
2022-06-01,103.998
2022-07-01,104.029
2022-08-01,103.926
2022-09-01,103.929
2022-10-01,103.929
2022-11-01,103.388
2022-12-01,103.388
2023-01-01,103.388
2023-02-01,104.678
2023-03-01,104.678
2023-04-01,104.372
2023-05-01,104.712
2023-06-01,104.634
2023-07-01,104.634
2023-08-01,104.634
2023-09-01,104.634
2023-10-01,104.449
2023-11-01,104.449
