"Date","WPU37"
2009-06-01,100
2009-07-01,100.1
2009-08-01,100.5
2009-09-01,100.1
2009-10-01,100
2009-11-01,99.7
2009-12-01,99.8
2010-01-01,99.7
2010-02-01,99.5
2010-03-01,99.5
2010-04-01,99.2
2010-05-01,99.7
2010-06-01,99.9
2010-07-01,99.9
2010-08-01,100.1
2010-09-01,100.2
2010-10-01,100.4
2010-11-01,100.4
2010-12-01,100.3
2011-01-01,100.3
2011-02-01,99.8
2011-03-01,100
2011-04-01,100
2011-05-01,100.4
2011-06-01,100.3
2011-07-01,100.6
2011-08-01,101
2011-09-01,100.7
2011-10-01,100.9
2011-11-01,101
2011-12-01,100.8
2012-01-01,100.9
2012-02-01,100.8
2012-03-01,101
2012-04-01,100.6
2012-05-01,100.9
2012-06-01,100.9
2012-07-01,100.9
2012-08-01,101.1
2012-09-01,100.9
2012-10-01,100.7
2012-11-01,100.7
2012-12-01,100.7
2013-01-01,101.2
2013-02-01,101.4
2013-03-01,101
2013-04-01,101.4
2013-05-01,101.4
2013-06-01,101.2
2013-07-01,101.2
2013-08-01,101.7
2013-09-01,101.6
2013-10-01,101.5
2013-11-01,101.4
2013-12-01,101.5
2014-01-01,101.6
2014-02-01,101.8
2014-03-01,101.5
2014-04-01,101.5
2014-05-01,101.3
2014-06-01,101.4
2014-07-01,101.2
2014-08-01,101.5
2014-09-01,101.1
2014-10-01,101.5
2014-11-01,100.9
2014-12-01,101
2015-01-01,101.3
2015-02-01,100.5
2015-03-01,100.1
2015-04-01,101.1
2015-05-01,100.5
2015-06-01,100.6
2015-07-01,100.5
2015-08-01,100.4
2015-09-01,100.2
2015-10-01,100.5
2015-11-01,100
2015-12-01,99.9
2016-01-01,100.3
2016-02-01,100.3
2016-03-01,100.3
2016-04-01,100.4
2016-05-01,100.2
2016-06-01,100.3
2016-07-01,100.4
2016-08-01,100.2
2016-09-01,100
2016-10-01,100.2
2016-11-01,99.8
2016-12-01,99.8
2017-01-01,98.9
2017-02-01,98.4
2017-03-01,98.8
2017-04-01,98.8
2017-05-01,98.8
2017-06-01,98.7
2017-07-01,98.6
2017-08-01,98.5
2017-09-01,98.6
2017-10-01,99.6
2017-11-01,98.9
2017-12-01,99.3
2018-01-01,99.8
2018-02-01,99.6
2018-03-01,99.9
2018-04-01,99.8
2018-05-01,100.5
2018-06-01,100.8
2018-07-01,100.4
2018-08-01,101.5
2018-09-01,101.5
2018-10-01,101.4
2018-11-01,101.3
2018-12-01,101.2
2019-01-01,101.5
2019-02-01,102
2019-03-01,102
2019-04-01,102.4
2019-05-01,102.6
2019-06-01,102.3
2019-07-01,102.3
2019-08-01,102.3
2019-09-01,103
2019-10-01,103.1
2019-11-01,102.8
2019-12-01,102.7
2020-01-01,103.3
2020-02-01,103.8
2020-03-01,104.3
2020-04-01,104.3
2020-05-01,103.7
2020-06-01,103.6
2020-07-01,103.6
2020-08-01,104
2020-09-01,103.7
2020-10-01,103.9
2020-11-01,103.7
2020-12-01,103.7
2021-01-01,103.8
2021-02-01,104.5
2021-03-01,104.6
2021-04-01,104.6
2021-05-01,104.3
2021-06-01,104.8
2021-07-01,104.605
2021-08-01,105.412
2021-09-01,105.151
2021-10-01,105.517
2021-11-01,105.066
2021-12-01,105.312
2022-01-01,105.807
2022-02-01,106.132
2022-03-01,106.322
2022-04-01,106.349
2022-05-01,106.537
2022-06-01,106.581
2022-07-01,107.584
2022-08-01,108.103
2022-09-01,109.039
2022-10-01,109.439
2022-11-01,109.32
2022-12-01,109.731
2023-01-01,111.203
2023-02-01,111.358
2023-03-01,112.123
2023-04-01,112.326
2023-05-01,112.189
2023-06-01,112.334
2023-07-01,112.211
2023-08-01,112.81
2023-09-01,111.845
2023-10-01,111.889
2023-11-01,111.996
