"Date","WPU07130617"
2004-12-01,100
2005-01-01,100.3
2005-02-01,100.1
2005-03-01,99.9
2005-04-01,100.2
2005-05-01,100.5
2005-06-01,100.5
2005-07-01,100.7
2005-08-01,100.8
2005-09-01,101.2
2005-10-01,100.7
2005-11-01,100.8
2005-12-01,101
2006-01-01,101
2006-02-01,101
2006-03-01,101
2006-04-01,102.1
2006-05-01,102.8
2006-06-01,102.8
2006-07-01,102.9
2006-08-01,102.6
2006-09-01,102.5
2006-10-01,102.6
2006-11-01,102.6
2006-12-01,102.6
2007-01-01,102.8
2007-02-01,104.2
2007-03-01,104
2007-04-01,104
2007-05-01,104.1
2007-06-01,104.3
2007-07-01,104.5
2007-08-01,104.8
2007-09-01,104.8
2007-10-01,104.8
2007-11-01,104.9
2007-12-01,105.1
2008-01-01,105.7
2008-02-01,105.7
2008-03-01,105.8
2008-04-01,105.8
2008-05-01,105.8
2008-06-01,106.5
2008-07-01,106.9
2008-08-01,107.6
2008-09-01,108.1
2008-10-01,108.8
2008-11-01,109.3
2008-12-01,109.3
2009-01-01,110.2
2009-02-01,111.1
2009-03-01,111.1
2009-04-01,110.9
2009-05-01,110.9
2009-06-01,111
2009-07-01,111.2
2009-08-01,111.4
2009-09-01,111.3
2009-10-01,111.3
2009-11-01,111.4
2009-12-01,111.4
2010-01-01,112.5
2010-02-01,112.5
2010-03-01,112.5
2010-04-01,112.5
2010-05-01,112.7
2010-06-01,112.7
2010-07-01,113.2
2010-08-01,112.9
2010-09-01,112.5
2010-10-01,112.5
2010-11-01,112.5
2010-12-01,112.5
2011-01-01,112.5
2011-02-01,112.7
2011-03-01,112.9
2011-04-01,114.4
2011-05-01,114.4
2011-06-01,114.3
2011-07-01,115.1
2011-08-01,115.2
2011-09-01,115.4
2011-10-01,115.6
2011-11-01,115.8
2011-12-01,114.3
2012-01-01,114.5
2012-02-01,114.7
2012-03-01,114.8
2012-04-01,114.5
2012-05-01,114.6
2012-06-01,114.5
2012-07-01,114.5
2012-08-01,114.5
2012-09-01,114.4
2012-10-01,114.6
2012-11-01,115.1
2012-12-01,114.8
2013-01-01,114.9
2013-02-01,114.9
2013-03-01,114.8
2013-04-01,115.7
2013-05-01,115.7
2013-06-01,115.7
2013-07-01,115.7
2013-08-01,115.7
2013-09-01,115.5
2013-10-01,115.5
2013-11-01,115.6
2013-12-01,115.4
2014-01-01,115.4
2014-02-01,115
2014-03-01,115
2014-04-01,115.1
2014-05-01,115
2014-06-01,115
2014-07-01,115
2014-08-01,115
2014-09-01,115
2014-10-01,114.4
2014-11-01,114.9
2014-12-01,115.1
2015-01-01,115
2015-02-01,115
2015-03-01,115.2
2015-04-01,115.2
2015-05-01,115.2
2015-06-01,115.2
2015-07-01,115.3
2015-08-01,115.3
2015-09-01,115.2
2015-10-01,115.1
2015-11-01,115.1
2015-12-01,114.9
2016-01-01,114.2
2016-02-01,114.3
2016-03-01,114.3
2016-04-01,114.3
2016-05-01,114.3
2016-06-01,114.3
2016-07-01,114.3
2016-08-01,113.8
2016-09-01,114.1
2016-10-01,114.1
2016-11-01,114.1
2016-12-01,114.1
2017-01-01,114.1
2017-02-01,114.2
2017-03-01,114.5
2017-04-01,114.7
2017-05-01,114.7
2017-06-01,114.6
2017-07-01,114.7
2017-08-01,114.7
2017-09-01,114.7
2017-10-01,114.6
2017-11-01,114.6
2017-12-01,114.6
2018-01-01,114.1
2018-02-01,114.2
2018-03-01,114.2
2018-04-01,114.7
2018-05-01,114.7
2018-06-01,114.7
2018-07-01,114.7
2018-08-01,115.1
2018-09-01,115.3
2018-10-01,115.5
2018-11-01,115.3
2018-12-01,115.3
2019-01-01,115.6
2019-02-01,115.4
2019-03-01,115.3
2019-04-01,115.2
2019-05-01,115.2
2019-06-01,115.2
2019-07-01,115.4
2019-08-01,115.4
2019-09-01,115.4
2019-10-01,115.3
2019-11-01,115.2
2019-12-01,115.3
2020-01-01,115.3
2020-02-01,115.4
2020-03-01,115.1
2020-04-01,115.5
2020-05-01,115.4
2020-06-01,115.4
2020-07-01,115.2
2020-08-01,115.3
2020-09-01,115.3
2020-10-01,115.7
2020-11-01,115.6
2020-12-01,115.6
2021-01-01,116
2021-02-01,116
2021-03-01,116.2
2021-04-01,116.7
2021-05-01,117
2021-06-01,118.1
2021-07-01,118.267
2021-08-01,118.267
2021-09-01,118.658
2021-10-01,119.058
2021-11-01,119.326
2021-12-01,121.577
2022-01-01,128.24
2022-02-01,129.166
2022-03-01,129.648
2022-04-01,129.973
2022-05-01,131.367
2022-06-01,131.687
2022-07-01,131.848
2022-08-01,132.056
2022-09-01,132.048
2022-10-01,133.119
2022-11-01,133.631
2022-12-01,134.653
2023-01-01,136.113
2023-02-01,138.526
2023-03-01,139.396
2023-04-01,143.064
2023-05-01,143.03
2023-06-01,143.018
2023-07-01,144.156
2023-08-01,144.166
2023-09-01,144.166
2023-10-01,144.166
2023-11-01,145.143
