"Date","WPSID63"
2009-11-01,100.1
2009-12-01,100.3
2010-01-01,100.8
2010-02-01,100.4
2010-03-01,100
2010-04-01,100.6
2010-05-01,101
2010-06-01,101.1
2010-07-01,101.2
2010-08-01,101.4
2010-09-01,101.4
2010-10-01,101.4
2010-11-01,101.8
2010-12-01,101.7
2011-01-01,102.1
2011-02-01,102.2
2011-03-01,102.5
2011-04-01,103.2
2011-05-01,103.4
2011-06-01,103.5
2011-07-01,103.6
2011-08-01,103.8
2011-09-01,103.8
2011-10-01,103.6
2011-11-01,103.6
2011-12-01,103.7
2012-01-01,104.4
2012-02-01,104.6
2012-03-01,104.5
2012-04-01,104.8
2012-05-01,105
2012-06-01,104.8
2012-07-01,105.1
2012-08-01,105.2
2012-09-01,105.6
2012-10-01,106.3
2012-11-01,106.9
2012-12-01,106.6
2013-01-01,106.7
2013-02-01,106.6
2013-03-01,106.9
2013-04-01,107.2
2013-05-01,106.8
2013-06-01,107
2013-07-01,107.2
2013-08-01,107.3
2013-09-01,107.5
2013-10-01,107.8
2013-11-01,107.9
2013-12-01,107.9
2014-01-01,108
2014-02-01,108.1
2014-03-01,108.7
2014-04-01,108.4
2014-05-01,108.4
2014-06-01,108.5
2014-07-01,109.1
2014-08-01,109
2014-09-01,109.1
2014-10-01,109.6
2014-11-01,109.5
2014-12-01,109.9
2015-01-01,109.8
2015-02-01,109.5
2015-03-01,109.9
2015-04-01,110.4
2015-05-01,110.3
2015-06-01,110.3
2015-07-01,110.7
2015-08-01,110.8
2015-09-01,110.4
2015-10-01,109.9
2015-11-01,109.9
2015-12-01,110.3
2016-01-01,111.4
2016-02-01,111.6
2016-03-01,111.7
2016-04-01,111.6
2016-05-01,111.6
2016-06-01,111.9
2016-07-01,112.5
2016-08-01,112.2
2016-09-01,112.3
2016-10-01,112.4
2016-11-01,112.8
2016-12-01,113.2
2017-01-01,113.4
2017-02-01,113.8
2017-03-01,113.9
2017-04-01,114.4
2017-05-01,114.6
2017-06-01,115
2017-07-01,115
2017-08-01,115.3
2017-09-01,115.5
2017-10-01,116.2
2017-11-01,116.4
2017-12-01,116.6
2018-01-01,117
2018-02-01,117.3
2018-03-01,117.6
2018-04-01,117.8
2018-05-01,118.2
2018-06-01,118.5
2018-07-01,118.9
2018-08-01,119
2018-09-01,119.3
2018-10-01,120
2018-11-01,120
2018-12-01,120.1
2019-01-01,120.3
2019-02-01,120.3
2019-03-01,120.8
2019-04-01,121.3
2019-05-01,121.5
2019-06-01,121.6
2019-07-01,121.6
2019-08-01,122.2
2019-09-01,122.3
2019-10-01,121.6
2019-11-01,121.5
2019-12-01,122.1
2020-01-01,122.2
2020-02-01,122
2020-03-01,122
2020-04-01,119.9
2020-05-01,119.6
2020-06-01,120
2020-07-01,120.5
2020-08-01,121.7
2020-09-01,123
2020-10-01,123.8
2020-11-01,123.7
2020-12-01,124.5
2021-01-01,126
2021-02-01,126.4
2021-03-01,127.2
2021-04-01,128.7
2021-05-01,129.6
2021-06-01,131.2
2021-07-01,131.995
2021-08-01,132.59
2021-09-01,133
2021-10-01,132.951
2021-11-01,133.746
2021-12-01,134.855
2022-01-01,135.843
2022-02-01,136.224
2022-03-01,137.907
2022-04-01,139.045
2022-05-01,139.822
2022-06-01,139.416
2022-07-01,139.772
2022-08-01,140.555
2022-09-01,141.189
2022-10-01,141.787
2022-11-01,142.922
2022-12-01,142.892
2023-01-01,144.295
2023-02-01,144.76
2023-03-01,144.28
2023-04-01,145.264
2023-05-01,145.505
2023-06-01,145.652
2023-07-01,146.465
2023-08-01,146.333
2023-09-01,146.575
2023-10-01,146.748
2023-11-01,147.072
